"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2022-12-31";"-4.95";"-5.00";"EUR";"1.01010";"VPN* YNQFR92TKD";;"household";"";"no";"no"
"2022-12-30";"-19.58";"";"";"";"PAYPAL *FRONTGATETX ED";;"travel";"";"no";"no"
"2022-12-28";"-85.29";"";"";"";"PAYPAL *FRONTGATETX ED";;"travel";"";"no";"no"
"2022-12-28";"-3.99";"";"";"";"Steam";;"leisure";"";"no";"no"
"2022-12-27";"-400.00";"";"";"";"AIR CAN0142143732120";;"transport";"";"no";"no"
"2022-12-27";"5000.00";"";"";"";"Albert Lehmann-Knoblauch";"Studium (Toronto-Semester)";"income";"";"no";"no"
"2022-12-26";"-12.03";"-17.48";"CAD";"1.45303";"INTERNATIONAL STUDENT";;"travel";"";"no";"no"
"2022-12-23";"200.00";"";"";"";"Eveline Lehmann";;"income";"";"no";"no"
"2022-12-23";"1000.00";"";"";"";"Eveline Lehmann";;"income";"";"no";"no"
"2022-12-22";"-10.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-22";"-8.80";"";"";"";"ZVV";;"transport";"";"no";"no"
"2022-12-22";"-16.90";"";"";"";"Parsaco Food Courts Gm";;"food";"";"no";"no"
"2022-12-20";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-12-20";"-7.90";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-19";"-6.60";"";"";"";"Migros";;"household";"";"no";"no"
"2022-12-17";"-6.50";"";"";"";"Migrolino";;"household";"";"no";"no"
"2022-12-17";"-870.27";"-1268.80";"CAD";"1.45794";"HCM*HARRINGTON HOUSING";;"housing";"";"no";"no"
"2022-12-16";"-92.55";"";"";"";"Yallo";;"housing";"";"no";"no"
"2022-12-16";"-19.55";"-21.00";"USD";"1.07417";"ESTA Electronic System for Travel Authorization";;"finances";"";"no";"no"
"2022-12-16";"-9.90";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-15";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-12-15";"-2.90";"";"";"";"ETH Store";;"household";"";"no";"no"
"2022-12-15";"-6.90";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-12-14";"-4.37";"-6.30";"CAD";"1.44165";"STUD ACCTS-CONVENIENCE";;"health";"";"no";"no"
"2022-12-14";"-174.86";"-252.00";"CAD";"1.44115";"STUD ACCTS CC PYMT-UOF";;"health";"";"no";"no"
"2022-12-14";"-4.70";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-14";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-14";"-4.60";"";"";"";"Migros";;"household";"";"no";"no"
"2022-12-13";"-10.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-12";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-12";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-12-12";"5000.00";"";"";"";"Albert Lehmann-Knoblauch";"Studium";"income";"";"no";"no"
"2022-12-09";"-19.87";"";"";"";"PAYPAL *FRONTGATETX ED";;"travel";"";"no";"no"
